"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","证监会规费","交易活动费","综合审计跟踪监管费","合计费用"
"买入","SBUX","星巴克","77.40","100","7,740.00","已撤单","0@0.00","2024/08/12 11:36:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","MU","美光科技","94.80","100","9,480.00","全部成交","100@94.80","2024/08/12 11:35:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"卖空","MU","美光科技","96.55","100","9,655.00","已撤单","0@0.00","2024/08/12 11:20:07 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","MU","美光科技","96.40","100","9,640.00","全部成交","100@96.40","2024/08/12 11:18:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.27","0.02","","2.58"
"卖空","SBUX","星巴克","78.35","100","7,835.00","已撤单","0@0.00","2024/08/12 11:15:19 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","MU","美光科技","96.25","100","9,625.00","全部成交","100@96.25","2024/08/12 11:11:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.27","0.02","","2.58"
"卖空","MU","美光科技","96.10","50","4,805.00","全部成交","50@96.10","2024/08/12 11:08:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.13","0.01","","2.28"
"买入","AMD","美国超微公司","137.40","10","1,374.00","全部成交","10@137.3496","2024/08/12 11:07:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"卖空","MU","美光科技","95.90","50","4,795.00","全部成交","50@95.90","2024/08/12 11:04:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.13","0.01","","2.28"
"卖空","MU","美光科技","95.60","100","9,560.00","全部成交","100@95.60","2024/08/12 10:49:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.27","0.02","","2.58"
"卖空","SBUX","星巴克","78.10","100","7,810.00","全部成交","100@78.10","2024/08/12 10:43:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.22","0.02","","2.53"
"卖空","AVGO","博通","150.60","10","1,506.00","已撤单","0@0.00","2024/08/12 10:37:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","138.10","10","1,381.00","已撤单","0@0.00","2024/08/12 10:37:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","137.60","10","1,376.00","全部成交","10@137.60","2024/08/12 10:35:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.04","0.01","","2.07"
"卖空","AVGO","博通","150.68","10","1,506.80","已撤单","0@0.00","2024/08/12 10:34:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","137.70","10","1,377.00","已撤单","0@0.00","2024/08/12 10:27:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","111.10","5","555.50","已撤单","0@0.00","2024/08/12 10:26:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","110.80","5","554.00","全部成交","5@110.80","2024/08/12 10:23:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","0.02","0.01","","2.04"
"卖出","NVDA","英伟达","110.40","10","1,104.00","已撤单","0@0.00","2024/08/12 10:20:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","110.40","5","552.00","已撤单","0@0.00","2024/08/12 10:16:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","110.00","10","1,100.00","全部成交","10@110.00","2024/08/12 10:14:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.03","0.01","","2.06"
"卖出","NVDA","英伟达","109.40","10","1,094.00","全部成交","10@109.40","2024/08/12 10:09:31 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.03","0.01","","2.06"
"卖出","NVDA","英伟达","109.00","10","1,090.00","全部成交","10@109.00","2024/08/12 10:08:59 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.03","0.01","","2.06"
"卖出","SQ","Block","61.10","100","6,110.00","全部成交","100@61.10","2024/08/12 10:07:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.17","0.02","","2.48"
"买入","SQ","Block","60.50","100","6,050.00","全部成交","100@60.50","2024/08/12 09:54:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"卖出","NVDA","英伟达","108.70","10","1,087.00","全部成交","10@108.70","2024/08/12 09:36:05 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.03","0.01","","2.06"
"买入","00762","中国联通","5.86","100,000","586,000.00","已撤单","0@0.00","2024/08/12 14:22:51 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","00762","中国联通","5.91","100,000","591,000.00","已撤单","0@0.00","2024/08/12 14:14:33 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","00762","中国联通","5.96","10,000","59,600.00","已撤单","0@0.00","2024/08/12 13:59:38 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","00762","中国联通","5.94","100,000","594,000.00","已撤单","0@0.00","2024/08/12 13:44:26 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖空","AVGO","博通","149.90","10","1,499.00","已撤单","0@0.00","2024/08/09 15:20:20 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","103.80","20","2,076.00","已撤单","0@0.00","2024/08/09 10:31:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","104.30","15","1,564.50","全部成交","15@104.30","2024/08/09 10:29:13 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.05","","","","","","","","2.04"
"买入","NVDA","英伟达","103.50","10","1,035.00","全部成交","10@103.50","2024/08/09 09:57:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"买入","AMD","美国超微公司","132.50","10","1,325.00","已撤单","0@0.00","2024/08/09 09:53:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","106.80","10","1,068.00","已撤单","0@0.00","2024/08/09 09:40:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","134.70","10","1,347.00","全部成交","10@134.70","2024/08/09 09:31:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"买入","NVDA","英伟达","105.20","10","1,052.00","全部成交","10@105.20","2024/08/09 08:20:51 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"买入","NVDA","英伟达","104.10","10","1,041.00","全部成交","10@104.10","2024/08/09 07:46:13 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"卖空","AMD","美国超微公司","138.10","10","1,381.00","全部成交","10@138.10","2024/08/09 04:35:08 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","0.04","0.01","","2.07"
"卖出","NVDA","英伟达","106.40","20","2,128.00","全部成交","20@106.40","2024/08/09 04:06:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","0.06","0.01","","2.12"
"卖出","NVDA","英伟达","105.30","25","2,632.50","全部成交","25@105.30","2024/08/08 13:50:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","0.07","0.01","","2.15"
"卖出","NVDA","英伟达","104.90","150","15,735.00","全部成交","150@104.90","2024/08/08 13:33:29 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.45","","","","","0.44","0.02","","2.9"
"卖出","NVDA","英伟达","104.70","150","15,705.00","全部成交","150@104.70","2024/08/08 13:09:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.45","","","","","0.44","0.02","","2.9"
"卖出","NVDA","英伟达","104.40","225","23,490.00","全部成交","225@104.40","2024/08/08 11:18:31 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1.1","1.13","0.68","","","","","0.65","0.04","","3.6"
"卖出","NVDA","英伟达","95.00","500","47,500.00","已撤单","0@0.00","2024/08/07 17:12:26 (美东)","止损限价单","撤单前有效","","盘中","95.00","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","104.50","575","60,087.50","已撤单","0@0.00","2024/08/07 14:56:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","104.40","75","7,830.00","已撤单","0@0.00","2024/08/07 12:25:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","102.90","30","3,087.00","全部成交","30@102.90","2024/08/07 12:05:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.09","","","","","","","","2.08"
"买入","AMD","美国超微公司","132.10","30","3,963.00","全部成交","30@132.10","2024/08/07 12:04:11 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.09","","","","","","","","2.08"
"买入","AMD","美国超微公司","132.80","30","3,984.00","已撤单","0@0.00","2024/08/07 11:48:42 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","103.60","145","15,022.00","全部成交","145@103.5897","2024/08/07 11:46:05 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.44","","","","","","","","2.43"
"买入","ASML","阿斯麦","863.00","5","4,315.00","全部成交","5@863.00","2024/08/07 11:45:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","NVDA","英伟达","104.01","400","41,604.00","全部成交","400@104.01","2024/08/07 11:43:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1.96","2","1.2","","","","","","","","5.16"
"买入","XPEV","小鹏汽车","7.03","3,000","21,090.00","已撤单","0@0.00","2024/08/07 11:33:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XPEV","小鹏汽车","7.01","5,000","35,050.00","已撤单","0@0.00","2024/08/07 11:21:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XPEV","小鹏汽车","7.01","5,000","35,050.00","已撤单","0@0.00","2024/08/07 10:53:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","ASML","阿斯麦","877.00","5","4,385.00","全部成交","5@877.00","2024/08/07 10:45:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","0.12","0.01","","2.14"
"买入","AMD","美国超微公司","134.00","20","2,680.00","已撤单","0@0.00","2024/08/07 10:00:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","134.00","20","2,680.00","已撤单","0@0.00","2024/08/07 10:00:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","136.60","30","4,098.00","已撤单","0@0.00","2024/08/07 09:50:59 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","ASML","阿斯麦","870.00","20","17,400.00","全部成交","20@870.00","2024/08/07 09:41:43 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","","","","2.05"
"卖空","AMD","美国超微公司","135.50","30","4,065.00","全部成交","30@135.50","2024/08/07 09:40:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.09","","","","","0.11","0.01","","2.2"
"买入","DIS","迪士尼","86.20","50","4,310.00","已撤单","0@0.00","2024/08/07 09:39:31 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","DIS","迪士尼","85.80","50","4,290.00","已撤单","0@0.00","2024/08/07 09:39:07 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","DIS","迪士尼","85.70","400","34,280.00","已撤单","0@0.00","2024/08/07 09:35:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","DIS","迪士尼","85.50","400","34,200.00","已撤单","0@0.00","2024/08/07 09:31:11 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","DIS","迪士尼","86.70","400","34,680.00","已撤单","0@0.00","2024/08/07 08:42:00 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","ASML","阿斯麦","862.00","10","8,620.00","已撤单","0@0.00","2024/08/07 08:08:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","133.40","25","3,335.00","已撤单","0@0.00","2024/08/07 07:43:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","133.40","25","3,335.00","已撤单","0@0.00","2024/08/07 07:23:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","DIS","迪士尼","85.20","400","34,080.00","已撤单","0@0.00","2024/08/07 06:59:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","ASML","阿斯麦","870.00","5","4,350.00","全部成交","5@870.00","2024/08/07 05:12:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","0.12","0.01","","2.14"
"卖空","ASML","阿斯麦","865.00","5","4,325.00","全部成交","5@865.00","2024/08/07 04:52:57 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","0.12","0.01","","2.14"
"买入","09868","小鹏汽车-W","27.45","100","2,745.00","已撤单","0@0.00","2024/08/07 15:47:08 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","09868","小鹏汽车-W","27.65","8,700","240,555.00","已撤单","0@0.00","2024/08/07 13:18:42 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","09868","小鹏汽车-W","27.50","8,800","242,000.00","已撤单","0@0.00","2024/08/07 13:03:00 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","09868","小鹏汽车-W","27.70","8,000","221,600.00","已撤单","0@0.00","2024/08/07 11:48:53 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","09868","小鹏汽车-W","27.60","500","13,800.00","已撤单","0@0.00","2024/08/07 11:42:52 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","09868","小鹏汽车-W","27.60","700","19,320.00","已撤单","0@0.00","2024/08/07 11:40:09 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","01211","比亚迪股份","208.00","2,500","520,000.00","已撤单","0@0.00","2024/08/07 10:19:30 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","01211","比亚迪股份","208.00","2,500","520,000.00","已撤单","0@0.00","2024/08/07 10:17:30 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","09868","小鹏汽车-W","27.60","500","13,800.00","已撤单","0@0.00","2024/08/07 10:10:15 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","01211","比亚迪股份","204.80","2,500","512,000.00","已撤单","0@0.00","2024/08/07 09:46:42 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","ASML","阿斯麦","842.00","46","38,732.00","全部成交","46@842.00","2024/08/06 13:25:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.14","","","","","","","","2.13"
"卖空","ASML","阿斯麦","855.20","5","4,276.00","全部成交","5@855.20","2024/08/06 10:48:57 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","0.12","0.01","","2.14"
"买入","AMD","美国超微公司","132.50","50","6,625.00","全部成交","50@132.50","2024/08/06 10:48:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"卖空","ASML","阿斯麦","851.00","5","4,255.00","全部成交","5@851.00","2024/08/06 10:41:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","0.12","0.01","","2.14"
"买入","AMD","美国超微公司","132.50","50","6,625.00","全部成交","50@132.50","2024/08/06 10:39:55 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","AMD","美国超微公司","131.00","50","6,550.00","已撤单","0@0.00","2024/08/06 10:34:42 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","131.70","50","6,585.00","已撤单","0@0.00","2024/08/06 10:32:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","131.80","50","6,590.00","已撤单","0@0.00","2024/08/06 10:25:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","ASML","阿斯麦","830.00","26","21,580.00","已撤单","0@0.00","2024/08/06 10:20:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","132.40","50","6,620.00","已撤单","0@0.00","2024/08/06 10:20:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","133.30","50","6,665.00","全部成交","50@133.30","2024/08/06 09:58:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.19","0.01","","2.34"
"买入","ASML","阿斯麦","835.00","16","13,360.00","已撤单","0@0.00","2024/08/06 09:43:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","ASML","阿斯麦","838.00","16","13,408.00","已撤单","0@0.00","2024/08/06 09:36:43 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","ASML","阿斯麦","840.00","26","21,840.00","已撤单","0@0.00","2024/08/06 09:35:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","132.70","50","6,635.00","全部成交","50@132.70","2024/08/06 09:34:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","AMD","美国超微公司","132.80","50","6,640.00","已撤单","0@0.00","2024/08/06 09:34:21 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","ASML","阿斯麦","849.00","6","5,094.00","全部成交","6@849.00","2024/08/06 09:32:59 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","0.14","0.01","","2.16"
"卖空","ASML","阿斯麦","846.80","40","33,872.00","全部成交","40@846.80","2024/08/06 09:31:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.12","","","","","0.94","0.01","","3.06"
"卖空","ASML","阿斯麦","842.80","40","33,712.00","已撤单","0@0.00","2024/08/06 08:56:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","ASML","阿斯麦","841.80","40","33,672.00","已撤单","0@0.00","2024/08/06 08:53:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","135.10","50","6,755.00","全部成交","50@135.10","2024/08/06 08:33:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"卖空","ASML","阿斯麦","841.80","40","33,672.00","已撤单","0@0.00","2024/08/06 08:09:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","ASML","阿斯麦","841.60","40","33,664.00","已撤单","0@0.00","2024/08/06 07:57:51 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","133.80","50","6,690.00","已撤单","0@0.00","2024/08/06 05:32:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","134.00","50","6,700.00","已撤单","0@0.00","2024/08/06 05:18:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","134.80","50","6,740.00","全部成交","50@134.80","2024/08/06 05:16:58 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","AMD","美国超微公司","135.00","100","13,500.00","已撤单","0@0.00","2024/08/06 05:15:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","135.80","100","13,580.00","已撤单","0@0.00","2024/08/06 05:04:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","136.01","100","13,601.00","已撤单","0@0.00","2024/08/06 04:38:11 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","136.00","100","13,600.00","已撤单","0@0.00","2024/08/06 04:20:38 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","136.40","100","13,640.00","全部成交","100@136.40","2024/08/06 04:09:34 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"买入","AMD","美国超微公司","136.80","100","13,680.00","全部成交","100@136.80","2024/08/06 03:22:14 (美东)","限价单","撤单前有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"卖空","AMD","美国超微公司","138.12","100","13,812.00","全部成交","100@138.12","2024/08/05 19:57:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.38","0.03","","2.7"
"买入","AMD","美国超微公司","134.40","100","13,440.00","已撤单","0@0.00","2024/08/05 14:14:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","134.70","122","16,433.40","全部成交","122@134.70","2024/08/05 14:10:13 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.37","","","","","","","","2.36"
"卖空","AMD","美国超微公司","139.10","22","3,060.20","全部成交","22@139.11","2024/08/05 12:28:59 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.07","","","","","0.09","0.01","","2.16"
"卖出","AMD","美国超微公司","139.20","19","2,644.80","下单失败","0@0.00","2024/08/05 12:28:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","103.20","25","2,580.00","全部成交","25@103.20","2024/08/05 12:28:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","0.07","0.01","","2.15"
"卖空","AMD","美国超微公司","138.40","100","13,840.00","全部成交","100@138.40","2024/08/05 12:24:41 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.38","0.02","","2.69"
"卖空","AMD","美国超微公司","137.90","80","11,032.00","已撤单","0@0.00","2024/08/05 11:40:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","137.60","50","6,880.00","全部成交","50@137.60","2024/08/05 11:38:00 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.19","0.01","","2.34"
"卖出","NVDA","英伟达","102.00","15","1,530.00","已撤单","0@0.00","2024/08/05 11:18:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","136.50","50","6,825.00","全部成交","50@136.50","2024/08/05 11:17:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.19","0.01","","2.34"
"卖空","AMD","美国超微公司","136.30","50","6,815.00","已撤单","0@0.00","2024/08/05 11:15:34 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","136.00","40","5,440.00","全部成交","40@136.00","2024/08/05 11:12:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.12","","","","","0.15","0.01","","2.27"
"卖空","AMD","美国超微公司","136.40","40","5,456.00","已撤单","0@0.00","2024/08/05 11:12:00 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","132.70","60","7,962.00","已撤单","0@0.00","2024/08/05 11:02:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AMD","美国超微公司","135.50","80","10,840.00","全部成交","80@135.50","2024/08/05 10:53:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.24","","","","","0.3","0.01","","2.54"
