"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","证监会规费","交易活动费","综合审计跟踪监管费","合计费用"
"买入","SQQQ","三倍做空纳指ETF-ProShares","69.30","20","1,386.00","全部成交","20@69.30","2026/04/07 20:14:12 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.06","","","","","","","","2.05"
"卖出","IQ","爱奇艺","1.42","1,000","1,420.00","已撤单","0@0.00","2026/04/06 09:32:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","ADBE","Adobe","245.00","5","1,225.00","已撤单","0@0.00","2026/04/02 10:38:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","IQ","爱奇艺","1.42","1,000","1,420.00","已撤单","0@0.00","2026/04/02 09:35:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","ADBE","Adobe","240.53","10","2,405.30","全部成交","10@240.53","2026/04/01 21:29:48 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.03","","","","","","0.01","","2.03"
"买入","ADBE","Adobe","235.20","10","2,352.00","全部成交","10@235.20","2026/04/01 09:49:11 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"卖出","IQ","爱奇艺","1.42","1,000","1,420.00","已撤单","0@0.00","2026/04/01 09:45:08 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","ADBE","Adobe","236.70","10","2,367.00","全部成交","10@236.70","2026/04/01 09:41:21 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"买入","03700","映宇宙","0.58","100,000","58,000.00","下单失败","0@0.00","2026/04/01 09:32:47 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","03700","映宇宙","0.56","100,000","56,000.00","下单失败","0@0.00","2026/04/01 09:30:07 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖出","GLD","黄金ETF-SPDR","431.00","4","1,724.00","全部成交","4@431.00","2026/03/31 19:53:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.01","","","","","","0.01","","2.01"
"买入","IQ","爱奇艺","1.18","1,000","1,180.00","已撤单","0@0.00","2026/03/27 11:56:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","GLD","黄金ETF-SPDR","422.20","7","2,955.40","全部成交","7@422.20","2026/03/24 21:45:00 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.02","","","","","","0.01","","2.02"
"卖出","GLD","黄金ETF-SPDR","420.18","10","4,201.80","全部成交","10@420.18","2026/03/24 20:40:11 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.03","","","","","","0.01","","2.03"
"卖出","GLD","黄金ETF-SPDR","418.00","25","10,450.00","全部成交","25@418.00","2026/03/24 04:11:10 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","0.01","","2.08"
"卖出","GLD","黄金ETF-SPDR","418.00","25","10,450.00","已撤单","0@0.00","2026/03/23 10:39:46 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","378.00","10","3,780.00","全部成交","10@378.00","2026/03/23 03:13:04 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"买入","GLD","黄金ETF-SPDR","381.20","5","1,906.00","全部成交","5@381.20","2026/03/23 03:06:55 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","GLD","黄金ETF-SPDR","382.00","5","1,910.00","已撤单","0@0.00","2026/03/23 02:47:51 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","384.00","5","1,920.00","已撤单","0@0.00","2026/03/23 02:45:20 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","385.50","5","1,927.50","全部成交","5@385.50","2026/03/23 02:43:42 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","GLD","黄金ETF-SPDR","387.20","5","1,936.00","已撤单","0@0.00","2026/03/23 02:38:09 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","388.40","5","1,942.00","全部成交","5@388.40","2026/03/23 02:31:57 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","GLD","黄金ETF-SPDR","389.60","5","1,948.00","全部成交","5@389.57","2026/03/23 02:30:08 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","GLD","黄金ETF-SPDR","389.60","55","21,428.00","下单失败","0@0.00","2026/03/23 02:29:59 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","390.00","5","1,950.00","已撤单","0@0.00","2026/03/23 02:29:34 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","392.00","5","1,960.00","已撤单","0@0.00","2026/03/23 02:07:16 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","416.70","5","2,083.50","已撤单","0@0.00","2026/03/20 11:27:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","417.60","5","2,088.00","已撤单","0@0.00","2026/03/20 10:25:34 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","420.80","5","2,104.00","全部成交","5@420.80","2026/03/20 10:13:48 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"卖出","GLD","黄金ETF-SPDR","434.70","15","6,520.50","全部成交","15@434.70","2026/03/20 04:20:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.05","","","","","","0.01","","2.05"
"卖出","GLD","黄金ETF-SPDR","433.50","18","7,803.00","全部成交","18@433.50","2026/03/20 04:11:57 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.05","","","","","","0.01","","2.05"
"卖出","GLD","黄金ETF-SPDR","432.70","40","17,308.00","已撤单","0@0.00","2026/03/20 04:07:57 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","424.00","8","3,392.00","全部成交","8@424.00","2026/03/19 08:13:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","GLD","黄金ETF-SPDR","427.20","10","4,272.00","全部成交","10@427.20","2026/03/19 07:55:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"买入","GLD","黄金ETF-SPDR","431.00","10","4,310.00","全部成交","10@431.00","2026/03/19 04:41:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.03","","","","","","","","2.02"
"买入","GLD","黄金ETF-SPDR","432.80","5","2,164.00","全部成交","5@432.80","2026/03/19 04:06:08 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","GLD","黄金ETF-SPDR","434.30","5","2,171.50","已撤单","0@0.00","2026/03/19 04:02:10 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","436.80","5","2,184.00","全部成交","5@436.80","2026/03/19 02:49:23 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","GLD","黄金ETF-SPDR","437.00","5","2,185.00","已撤单","0@0.00","2026/03/19 02:48:07 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","GLD","黄金ETF-SPDR","438.80","5","2,194.00","全部成交","5@438.80","2026/03/19 02:45:09 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","GLD","黄金ETF-SPDR","447.80","5","2,239.00","已撤单","0@0.00","2026/03/18 08:39:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","IQ","爱奇艺","1.23","500","615.00","已撤单","0@0.00","2026/03/17 15:24:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","IQ","爱奇艺","1.24","500","620.00","已撤单","0@0.00","2026/03/17 10:17:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","GLD","黄金ETF-SPDR","462.60","15","6,939.00","全部成交","15@462.60","2026/03/16 09:45:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.05","","","","","","0.01","","2.05"
"卖出","GLD","黄金ETF-SPDR","462.00","27","12,474.00","全部成交","27@462.00","2026/03/16 08:28:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","0.01","","2.08"
"卖出","TDOC","Teladoc Health","5.39","50","269.50","全部成交","50@5.3916","2026/03/16 05:06:13 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","0.04","","2.18"
"买入","GLD","黄金ETF-SPDR","458.00","7","3,206.00","全部成交","7@458.00","2026/03/16 04:39:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"卖出","NVDA","英伟达","181.70","15","2,725.50","全部成交","15@181.70","2026/03/15 21:15:46 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.05","","","","","","0.01","","2.05"
"买入","GLD","黄金ETF-SPDR","460.80","40","18,432.00","全部成交","40@460.7862","2026/03/13 19:53:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.12","","","","","","","","2.11"
"买入","TLT","20+年以上美国国债ETF-iShares","86.47","50","4,323.50","已撤单","0@0.00","2026/03/13 12:44:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
