"代码","名称","方向","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪"
"SOXS","三倍做空半导体ETF-Direxion","买入","100","12.55","1,255.00","2025/05/12 12:12:04 (美东)","美股","USD",""
"SOXS","三倍做空半导体ETF-Direxion","买入","100","12.63","1,263.00","2025/05/12 12:05:09 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","25.22","1,261.00","2025/05/12 06:59:24 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","25.45","1,272.50","2025/05/12 03:26:53 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","25.53","2,553.00","2025/05/12 03:24:48 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","25.61","1,280.50","2025/05/12 03:22:36 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","25.68","1,284.00","2025/05/12 03:14:42 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","26.90","1,345.00","2025/05/12 02:39:34 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","28.30","1,415.00","2025/05/08 05:39:22 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","28.40","1,420.00","2025/05/08 04:50:38 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","28.62","1,431.00","2025/05/08 00:08:12 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","28.80","1,440.00","2025/05/07 23:17:34 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","29.40","2,940.00","2025/05/06 12:14:13 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","100","29.75","2,975.00","2025/05/06 01:58:19 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","100","29.68","2,968.00","2025/05/06 01:51:26 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","176","29.62","5,213.12","2025/05/05 22:05:07 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","24","29.62","710.88","2025/05/05 21:53:55 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","134","29.58","3,963.72","2025/05/05 21:38:30 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","6","29.58","177.48","2025/05/05 21:38:25 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","60","29.58","1,774.80","2025/05/05 21:38:15 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","28.86","2,886.00","2025/05/05 12:06:19 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","100","29.35","2,935.00","2025/05/04 21:50:11 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","280","29.12","8,153.60","2025/05/04 21:26:51 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","80","28.40","2,272.00","2025/05/02 12:02:40 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","28.70","2,870.00","2025/05/02 10:16:57 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","28.76","2,876.00","2025/05/02 10:16:25 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","28.83","2,883.00","2025/05/02 10:06:50 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","28.90","2,890.00","2025/05/02 10:03:12 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","28.93","2,893.00","2025/05/01 11:15:10 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","29.02","2,902.00","2025/05/01 11:10:48 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","29.15","1,457.50","2025/05/01 10:56:26 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","29.20","1,460.00","2025/05/01 10:47:59 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","29.35","1,467.50","2025/05/01 05:51:56 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","29.50","1,475.00","2025/05/01 04:48:23 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","300","32.90","9,870.00","2025/04/28 13:29:45 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","370","32.80","12,136.00","2025/04/28 13:28:12 (美东)","美股","USD",""
"00981","中芯国际","买入","1,000","45.40","45,400.00","2025/04/28 15:22:01 (香港)","港股","HKD","6997"
"SQQQ","三倍做空纳指ETF-ProShares","买入","70","31.85","2,229.50","2025/04/25 14:22:32 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","31.62","3,162.00","2025/04/25 13:24:14 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","31.78","3,178.00","2025/04/25 13:17:15 (美东)","美股","USD",""
"NVDA","英伟达","买入","100","111.20","11,120.00","2025/04/25 13:15:39 (美东)","美股","USD",""
"NVDA","英伟达","卖空","20","110.08","2,201.60","2025/04/25 12:36:52 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","卖出","100","12.20","1,220.00","2025/04/25 12:36:02 (美东)","美股","USD",""
"NVDA","英伟达","卖空","30","109.50","3,285.00","2025/04/25 12:29:34 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","32.20","3,220.00","2025/04/25 12:25:58 (美东)","美股","USD",""
"NVDA","英伟达","卖空","10","109.10","1,091.00","2025/04/25 11:40:26 (美东)","美股","USD",""
"NVDA","英伟达","卖空","20","108.95","2,179.00","2025/04/25 11:23:34 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","100","32.40","3,240.00","2025/04/25 11:22:28 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","32.55","1,627.50","2025/04/25 10:49:54 (美东)","美股","USD",""
"NVDA","英伟达","卖空","10","108.50","1,085.00","2025/04/25 10:46:28 (美东)","美股","USD",""
"NVDA","英伟达","卖空","10","108.35","1,083.50","2025/04/25 10:40:28 (美东)","美股","USD",""
"NVDA","英伟达","卖出","10","108.20","1,082.00","2025/04/25 10:39:12 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","32.00","1,600.00","2025/04/25 00:06:43 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","150","33.62","5,043.00","2025/04/24 10:37:28 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","25","33.65","841.25","2025/04/24 10:36:11 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","25","33.90","847.50","2025/04/24 10:22:12 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","25","34.08","852.00","2025/04/24 10:05:43 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","25","34.40","860.00","2025/04/24 09:57:15 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","卖出","50","35.80","1,790.00","2025/04/23 15:22:37 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","50","33.55","1,677.50","2025/04/23 10:35:25 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","20","33.70","674.00","2025/04/23 10:00:14 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","20","33.90","678.00","2025/04/23 09:49:25 (美东)","美股","USD",""
"SQQQ","三倍做空纳指ETF-ProShares","买入","10","34.45","344.50","2025/04/23 09:33:37 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","卖出","100","9.30","930.00","2025/04/22 11:08:06 (美东)","美股","USD",""
"NVDA","英伟达","卖出","15","99.20","1,488.00","2025/04/22 09:46:45 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","卖出","100","9.24","924.00","2025/04/22 09:44:05 (美东)","美股","USD",""
"NVDA","英伟达","卖出","25","98.18","2,454.50","2025/04/22 05:06:54 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","卖出","50","8.77","438.50","2025/04/21 20:31:11 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","卖出","150","8.77","1,315.50","2025/04/21 20:30:41 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","卖出","100","8.77","877.00","2025/04/21 20:30:36 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","100","8.18","818.00","2025/04/21 11:55:10 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","50","8.21","410.50","2025/04/21 11:46:06 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","50","8.25","412.50","2025/04/21 11:35:41 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","96.20","962.00","2025/04/21 10:13:13 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","96.45","964.50","2025/04/21 10:08:06 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","50","8.36","418.00","2025/04/21 10:03:19 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","50","8.42","421.00","2025/04/21 10:00:00 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","97.10","971.00","2025/04/21 09:56:24 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","50","8.50","425.00","2025/04/21 09:52:50 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","97.80","978.00","2025/04/21 09:36:56 (美东)","美股","USD",""
"NVDA","英伟达","卖出","10","99.10","991.00","2025/04/21 09:35:13 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","97.90","979.00","2025/04/21 06:28:08 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","50","8.72","436.00","2025/04/21 05:12:12 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","100.08","1,000.80","2025/04/17 11:04:06 (美东)","美股","USD",""
"SOXL","三倍做多半导体ETF-Direxion","买入","50","9.02","451.00","2025/04/17 10:55:39 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","买入","85","306.00","26,010.00","2025/04/17 03:16:43 (美东)","美股","USD",""
"GLD","黄金ETF-SPDR","卖空","85","306.20","26,027.00","2025/04/16 11:41:45 (美东)","美股","USD",""
