date,code,name,qty,price,pnl,ccy
2025-04-04,GOOG,谷歌-C,50.0,150.14,-73.0,USD
2025-04-04,MU,美光科技,41.0,70.5,-1004.5,USD
2025-04-04,MU,美光科技,100.0,70.5,-2441.8,USD
2025-04-04,MU,美光科技,100.0,70.5,-2409.5,USD
2025-04-04,MU,美光科技,7.0,70.5,-166.6,USD
2025-04-04,MU,美光科技,59.0,70.5,-1418.55,USD
2025-04-04,MU,美光科技,13.0,70.5,-336.05,USD
2025-04-04,MU,美光科技,18.0,70.5,-465.3,USD
2025-04-04,NVDA,英伟达,51.0,96.7,-659.7,USD
2025-04-04,NVDA,英伟达,49.0,96.7,-28.3,USD
2025-04-04,NVDA,英伟达,50.0,97.5903,47.42,USD
2025-04-04,NVDA,英伟达,25.0,98.2006,54.76,USD
2025-04-04,XYZ,Block,100.0,50.0,60.0,USD
2025-04-04,XYZ,Block,50.0,50.3,52.5,USD
2025-04-04,XYZ,Block,150.0,47.94,-181.5,USD
2025-04-04,MU,美光科技,50.0,66.4,-1497.5,USD
2025-04-04,NVDA,英伟达,100.0,95.2,-56.15,USD
2025-04-04,NVDA,英伟达,25.0,96.0,19.0,USD
2025-04-04,NVDA,英伟达,50.0,92.61,-51.88,USD
2025-04-07,XYZ,Block,20.0,46.28,3.4,USD
2025-04-07,XYZ,Block,30.0,46.27,4.8,USD
2025-04-07,NVDA,英伟达,80.0,89.01,-283.7,USD
2025-04-07,NVDA,英伟达,50.0,98.0,557.6,USD
2025-04-07,01519,极兔速递-W,10000.0,4.78,-4400.0,HKD
2025-04-08,NVDA,英伟达,25.0,100.2,360.9,USD
2025-04-08,AVGO,博通,200.0,162.5,324.7,USD
2025-04-08,NVDA,英伟达,25.0,101.38,394.5,USD
2025-04-08,AVGO,博通,21.0,163.4,0.0,USD
2025-04-09,XYZ,Block,20.0,47.65,-43.0,USD
2025-04-09,XYZ,Block,1.0,47.56,-2.24,USD
2025-04-09,XYZ,Block,2.0,47.56,-4.48,USD
2025-04-09,XYZ,Block,27.0,47.55,-60.75,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,325.0,85.95,22.75,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,5.0,86.08,1.0,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,3.0,86.08,0.6,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,5.0,86.08,1.0,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,4.0,86.08,0.8,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,133.0,86.08,56.7,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,25.0,86.6,45.0,USD
2025-04-09,00981,中芯国际,500.0,43.5,0.0,HKD
2025-04-09,00981,中芯国际,500.0,42.75,0.0,HKD
2025-04-09,00981,中芯国际,500.0,43.2,0.0,HKD
2025-04-09,PDD,拼多多,25.0,97.6,207.5,USD
2025-04-09,PDD,拼多多,25.0,98.0,237.5,USD
2025-04-10,DIS,迪士尼,26.0,89.98,0.0,USD
2025-04-10,DIS,迪士尼,24.0,89.98,0.0,USD
2025-04-10,00981,中芯国际,500.0,45.3,0.0,HKD
2025-04-10,00981,中芯国际,500.0,45.6,0.0,HKD
2025-04-10,00981,中芯国际,500.0,45.9,0.0,HKD
2025-04-10,00981,中芯国际,1000.0,46.3,0.0,HKD
2025-04-10,PDD,拼多多,75.0,90.01,-66.75,USD
2025-04-10,TLT,20+年以上美国国债ETF-iShares,25.0,87.0,55.0,USD
2025-04-10,SOXL,三倍做多半导体ETF-Direxion,1000.0,9.85,355.0,USD
2025-04-10,SOXL,三倍做多半导体ETF-Direxion,695.0,9.8,374.0,USD
2025-04-11,00981,中芯国际,500.0,45.4,600.0,HKD
2025-04-11,00981,中芯国际,500.0,46.3,1050.0,HKD
2025-04-11,00981,中芯国际,500.0,46.9,1425.0,HKD
2025-04-11,00981,中芯国际,500.0,47.3,1625.0,HKD
2025-04-11,00981,中芯国际,500.0,47.8,2050.0,HKD
2025-04-15,SOXL,三倍做多半导体ETF-Direxion,100.0,10.96,176.0,USD
2025-04-16,GLD,黄金ETF-SPDR,85.0,306.2,0.0,USD
2025-04-21,NVDA,英伟达,10.0,99.1,135.0,USD
