no,name,market,ccy,buy_price,qty,fee,avg_price,investment,current_price,gain_loss,pl_pct,exit_price,open_date,close_date,holding_days
37,,NYSE,USD,19.5,50,17.76,19.8552,992.76,5.25,57.24,0.057657,21,2020-12-03,2021-01-12,40
38,,NASDAQ,USD,78,10,17.76,79.776,797.76,80.01,94.24,0.118131,89.2,2020-11-12,2021-01-12,61
39,,NASDAQ,USD,516,2,17.76,524.88,1049.76,282.19,34.24,0.032617,542,2020-12-30,2021-01-12,13
40,,NYSE,USD,49,20,35.52,50.776,1015.52,21.21,244.48,0.240744,63,2020-12-01,2021-01-12,42
41,,HK,HKD,1.85,4000,138.4296,1.884607,7538.4296,3.1,238.662872,0.246944,2.35,2021-01-08,2021-01-15,7
42,,HK,HKD,47.5,500,173.2045,47.846409,23923.2045,55.3,105.999423,0.004431,49.5,2020-11-19,2021-01-18,60
43,,NASDAQ,USD,60,10,17.76,61.776,617.76,59.18,37.24,0.060282,65.5,2020-11-10,2021-01-19,70
44,,NYSE,USD,67,15,17.76,68.184,1022.76,3.19,5.94,0.005808,68.58,2021-01-06,2021-01-19,13
45,,NASDAQ,USD,515,2,17.76,523.88,1047.76,693.4,23.66,0.022582,535.71,2020-11-21,2021-01-19,59
46,,NASDAQ,USD,85.35,30,53.28,87.126,2613.78,21.25,-183.78,-0.070312,81,2020-08-27,2021-01-25,151
47,,NASDAQ,USD,85.35,10,8.88,86.238,862.38,21.25,77.62,0.090007,94,2020-08-27,2021-01-27,153
48,,NYSE,USD,273.333333,12,35.52,276.293333,3315.52,115.09,-190.84,-0.05756,260.39,2020-10-29,2021-01-29,92
49,,AMEX,USD,179.988889,18,26.64,181.468889,3266.44,179.06,-158.56,-0.048542,172.66,2020-07-31,2021-01-29,182
50,,NASDAQ,USD,466,2,17.76,474.88,949.76,450.01,-16.64,-0.01752,466.56,2021-01-06,2021-01-29,23
51,,NASDAQ,USD,270,4,18.76,274.69,1098.76,223.59,-50.76,-0.046198,262,2020-12-31,2021-02-26,57
52,,NASDAQ,USD,268,15,18.76,269.250667,4038.76,223.59,-63.76,-0.015787,265,2021-01-28,2021-03-04,35
53,,NYSE,USD,13.5,25,17.76,14.2104,355.26,6,22.99,0.064713,15.13,2020-11-02,2021-03-05,123
54,,NASDAQ,USD,262,60,18.76,262.312667,15738.76,223.59,161.24,0.010245,265,2021-03-08,2021-03-09,1
55,,NASDAQ,USD,270,50,18.76,270.3752,13518.76,223.59,-243.76,-0.018031,265.5,2021-01-28,2021-03-09,40
56,,NASDAQ,USD,272,50,9.88,272.1976,13609.88,223.59,-309.88,-0.022769,266,2021-01-28,2021-03-09,40
57,,NASDAQ,USD,268,15,9.88,268.658667,4029.88,223.59,-39.88,-0.009896,266,2021-01-28,2021-03-09,40
58,,NASDAQ,USD,268,20,9.88,268.494,5369.88,223.59,-9.88,-0.00184,268,2021-01-28,2021-03-09,40
59,,NASDAQ,USD,274,30,9.88,274.329333,8229.88,223.59,-189.88,-0.023072,268,2021-01-28,2021-03-09,40
60,,NASDAQ,USD,237.5,60,18.76,237.812667,14268.76,115.09,131.24,0.009198,240,2021-03-10,2021-03-11,1
61,,NASDAQ,USD,276.7,100,18.76,276.8876,27688.76,223.59,11.24,0.000406,277,2021-01-28,2021-03-11,42
62,,NASDAQ,USD,269.5,50,19.76,269.8952,13494.76,223.59,605.24,0.04485,282,2021-01-28,2021-03-16,47
63,,NASDAQ,USD,227,50,18.76,227.3752,11368.76,115.09,81.24,0.007146,229,2021-03-16,2021-03-17,1
