date,code,name,type,qty,price,pnl,ccy
2025-10-06,SQQQ,三倍做空纳指ETF-ProShares,平多,20.0,14.7201,-277.34,USD
2025-10-20,SQQQ,三倍做空纳指ETF-ProShares,平多,13.0,14.53355,-180.26,USD
2025-10-24,SQQQ,三倍做空纳指ETF-ProShares,平多,42.0,13.895,-608.41,USD
2025-10-27,SQQQ,三倍做空纳指ETF-ProShares,平多,31.0,13.405,-461.75,USD
2025-10-29,SQQQ,三倍做空纳指ETF-ProShares,平多,661.0,12.76,-8106.94,USD
2026-02-26,ADBE,Adobe,平多,5.0,258.8,0.43,USD
2026-02-26,ADBE,Adobe,平多,5.0,258.8,60.5,USD
2026-02-26,TDOC,Teladoc Health,平多,50.0,5.02,12.0,USD
2026-02-26,TDOC,Teladoc Health,平多,50.0,5.15,18.5,USD
2026-03-02,IQ,爱奇艺,平多,100.0,1.6,-5.0,USD
2026-03-03,ADBE,Adobe,平多,5.0,266.0,101.0,USD
2026-03-09,NVDA,英伟达,平多,30.0,179.8,-67.55,USD
2026-03-09,NVDA,英伟达,平多,30.0,180.8,93.0,USD
2026-03-09,NVDA,英伟达,平多,25.0,182.4,149.5,USD
2026-03-10,NVDA,英伟达,平多,10.0,185.1,106.0,USD
2026-03-15,NVDA,英伟达,平多,15.0,181.7,123.0,USD
2026-03-16,TDOC,Teladoc Health,平多,42.0,5.39,32.34,USD
2026-03-16,TDOC,Teladoc Health,平多,1.0,5.4,0.78,USD
2026-03-16,TDOC,Teladoc Health,平多,1.0,5.4,0.78,USD
2026-03-16,TDOC,Teladoc Health,平多,6.0,5.4,4.68,USD
2026-03-16,GLD,黄金ETF-SPDR,平多,27.0,462.0,32.77,USD
2026-03-16,GLD,黄金ETF-SPDR,平多,15.0,462.6,32.78,USD
2026-03-20,GLD,黄金ETF-SPDR,平多,18.0,433.5,-163.4,USD
2026-03-20,GLD,黄金ETF-SPDR,平多,15.0,434.7,63.3,USD
2026-03-24,GLD,黄金ETF-SPDR,平多,25.0,418.0,15.75,USD
2026-03-24,GLD,黄金ETF-SPDR,平多,10.0,420.18,332.3,USD
2026-03-24,GLD,黄金ETF-SPDR,平多,7.0,422.2,293.4,USD
2026-03-31,GLD,黄金ETF-SPDR,平多,4.0,431.0,212.0,USD
2026-04-01,ADBE,Adobe,平多,10.0,240.53,38.3,USD
2026-04-09,SQQQ,三倍做空纳指ETF-ProShares,平多,30.0,70.08,25.6,USD
2026-04-09,SQQQ,三倍做空纳指ETF-ProShares,平多,30.0,70.28,46.0,USD
2026-04-09,ADBE,Adobe,平多,10.0,229.88,-53.2,USD
2026-04-09,ADBE,Adobe,平多,30.0,229.88,43.9,USD
2026-04-09,SQQQ,三倍做空纳指ETF-ProShares,平多,80.0,68.04,-14.4,USD
2026-04-10,ADBE,Adobe,平多,10.0,227.0,-7.8,USD
2026-04-13,ADBE,Adobe,平多,5.0,234.2,44.0,USD
2026-04-14,IQ,爱奇艺,平多,1000.0,1.42,-114.0,USD
2026-04-15,ADBE,Adobe,平多,5.0,245.4,100.0,USD
2026-09-03,SQQQ,三倍做空纳指ETF-ProShares,平多,1.0,38.42,-29.38,USD
2026-09-03,SQQQ,三倍做空纳指ETF-ProShares,平多,49.0,38.42,-1432.62,USD
2026-09-14,IQ,爱奇艺,平多,1000.0,1.02,-355.0,USD
2026-09-17,IQ,爱奇艺,平多,500.0,1.15,50.0,USD
